Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[4, 256, 2304, 768]",C,1.1874725579980798,1474.56,0.4263386654117647,266461.6658823529,3623.878656,0.75,1.6875,2.25,4.6875,8.5,266461.6658823529,224393.9568014706
GEMM,"[4, 256, 256, 768]",M,0.5208212973675789,646.7368421052631,0.09095435049019608,56846.46905637255,402.653184,0.75,0.1875,0.25,1.1875,4.426981027624421,29606.85176470588,56846.46905637255
GEMM,"[4, 256, 768, 256]",M,0.5208212973675789,646.7368421052631,0.09095435049019608,56846.46905637255,402.653184,0.25,0.1875,0.75,1.1875,4.426981027624421,29606.85176470588,56846.46905637255
GEMM,"[4, 256, 768, 768]",M,0.8996004227258182,1117.090909090909,0.1579733455882353,98733.34099264706,1207.959552,0.75,0.5625,0.75,2.0625,7.646603593169454,88820.55529411764,98733.34099264706
ADD,"[4, 256, 768]",M,0.000536870912,0.6666666666666666,0.1723345588235294,107709.09926470589,0.786432,0.75,0.75,0.75,2.25,0.004563402752,57.82588235294117,107709.09926470589
GEMM,"[4, 256, 3072, 768]",C,1.236950581248,1536.0,0.5684515538823529,355282.2211764706,4831.838208,0.75,2.25,3.0,6.0,8.5,355282.2211764706,287224.2647058824
RELU,"[4, 786432]",M,0.0008053063679999999,1.0,0.4595588235294118,287224.2647058824,3.145728,3.0,0.0,3.0,6.0,0.006845104127999999,231.30352941176469,287224.2647058824
GEMM,"[4, 256, 768, 3072]",C,1.236950581248,1536.0,0.5684515538823529,355282.2211764706,4831.838208,3.0,2.25,0.75,6.0,8.5,355282.2211764706,287224.2647058824
ADD,"[4, 256, 768]",M,0.000536870912,0.6666666666666666,0.1723345588235294,107709.09926470589,0.786432,0.75,0.75,0.75,2.25,0.004563402752,57.82588235294117,107709.09926470589
